word / phrase,translation,comment,source
on the edge,კიდეში,,
at the top/bottom,თავში/ბოლოში,,
"apart from him, everyone",მის გარდა ყველა,,
have a good rest,კარგად დაისვენე,,
turn against sb.,დაუპირისპირდე ვინმეს,,
in terms of profitability,მომგებიანობის თვალსაზრისით,,
technically speaking,ტექნიკურად რომ ვილაპარაკოთ,,
generally speaking,ზოგადად რომ ვილაპარაკოთ,,
hedge,გაკრეჭილი ბუჩქები,,
enrich my English,ჩემი ინგლისურის გამდიდრება,,
lawn,გაზონი,,
draw a conclusion,დასკვნის გამოტანა,,
statistically significant,სტატისტიკურად მნიშვნელოვანი,,
It will strengthen our economy.,ეს გააძლიერებს ჩვენს ეკონომიკას.,,
Your arguments are not convincing enough.,თქვენი არგუმენტები არ არის საკმარისად დამაჯერებელი.,,
What are you aiming at?,რას უმიზნებ?,,
What are you hinting at?,რაზე მიანიშნებ?,,
most of the time,"ხშირ შემთხვევაში, უმეტეს შემთხვევაში",,
for further information,დამატებითი ინფორმაციისთვის,,
supreme court,უზენაესი სასამართლო,,
courtyard,შიდა ეზო,,
Curiosity killed the cat.,ნუ იქნები ცნობისმოყვარე. (ცნობისმოყვარეობამ კატა მოკლა),,
Explain everything to me.,ამიხსენი ყველაფერი.,,
as if,თითქოს და,,
as though,თითქოს და,,
inner beauty,შინაგანი სილამაზე,,
internal bleeding,შინაგანი სისხლდენა,,
internal organs,შინაგანი ორგანოები,,
pat sb. on the back,ხელის წამორტყმა,,
burnout,გადაწვა,,
wear sb. down,დაღალო ვინმე,,
red burnout zone,გადაწვის ზონა,,
meet demands,მოთხოვნების დაკმაყოფილება,,
all of which,რომელთაგან ყველა,,
I have too much on my plate.,ძალიან დატვირთული ვარ.,,
noughty,ცელქი,,
out of the blue,"არსაიდან, უეცრად",,
kick the bucket,ფეხების გაფშეკვა,,
wart,მეჭეჭი,,
tin,კონსერვი,,
hob,გაზქურის თავი,,
carrot top,წითური,,
egg someone,წაქეზება,,
deprive,წართმევა,,
one-off,ერთჯერადი,,
cope,გამკლავება,,
steering clear,მოერიდო,,
induce,"გამოწვევა, გამოიწვევს",,
drowsiness,ძილიანობა,,
lull,დამშვიდება,,
misled,შეცდომაში შეყვანილი,,
dart,სწრაფად სირბილი აქეთ-იქით,,
disregard,"უგულებელყოფა, დაიგნორება",,
veil,საბურველი,,
veiled,დაფარული,,
eradicate,აღმოფხვრა,,
imminent,"გარდაუვალი, აუცილებელი",,
inevitable,"გარდაუვალი, აუცილებელი",,
plague,ტანჯვა,,
nip it in the bud,საწყის ეტაპზე პრობლემის მოგვარება,,
nip,"კბენა, მოჭერა",,
red-rimmed eyes,ჩაწითლებული თვალები,,
invariably,ყველა შემთხვევაში,,
erratic,"არასტაბილური, არაპროგნოზირებადი",,
sour,მჟავე,,
acidic taste,მომჟავო გემო,,
He was in the room reading a paper.,ის იყო ოთახში და კითხულობდა გაზეთს.,,
be at the doctor's,იყო ექიმთან,,
go to the doctor,წახვიდე ექიმთან,,
visit a doctor,წახვიდე ექიმთან,,
ask a doctor,კონსულტაცია გაიარო ექიმთან,,
consult a doctor,კონსულტაცია გაიარო ექიმთან,,
There's no accounting for taste.,გემოვნებაზე არ დავობენ.,,
We fought tooth and nail to...,ყველა საშუალებით ვიბრძოდით,,
is sure to,"უეჭველია, რომ",,
make sure,"დარწმუნდი, დაარწმუნო",,
ensure,"დარწმუნდი, დაარწმუნო",,
urgent medical attention,სასწრაფო სამედიცინო დახმარება,,
with a bit of attention,მცირედი ყურადღებით,,
to keep the attention of sb.,შეინარჩუნო ვინმეს ყურადღება,,
to give my undivided attention,მივაპყრო ჩემი სრული ყურადღება,,
with close attention,მთელი ყურადღებით,,
my attention started to wander,ყურადღება გამეფანტა,,
pay more attention to sth.,უფრო მეტი ყურადღება მიაქციო რამეს.,,
"Attention, please!",ყურადღება!,,
My attention isn't on the game.,ჩემი ყურადღება არ არის თამაშზე.,,
He turned his attention to the file.,მან ყურადღება გადაიტანა ფაილზე.,,
We need to give more attention to this.,ჩვენ უნდა მივაქციოთ უფრო მეტი ყურადღება ამას.,,
Attention to detail is essential.,დეტალებზე ყურადღების მიქცევა აუცილებელია.,,
by the attention he was giving her,"ყურადღება, რომელსაც ის იჩენდა მის მიმართ",,
He attracted the attention of her.,მან მიიქცია მისი ყურადღება.,,
It received little attention in the press.,ამან მიიქცია პრესის მცირე ყურადღება.,,
It attracted a great deal of media attention.,ამან მიიქცია მედიის დიდი ყურადღება.,,
hold sb's attention,შეინარჩუნო ვინმეს ყურადღება,,
I was in the center of attention,ყურადღების ცენტრში ვიყავი.,,
to avoid the attentions (romantic interest),მოერიდო (რომანტიულ) ურთიერთობებს,,
catch sb's attention,მიიპყრო ვინმეს ყურადღება,,
get attention,მიიღო ყურადღება,,
draw attention to,მიიპყრო ყურადღება,,
focus attention on sth.,ყურადღება მიაპყრო რამეს,,
draw/divert/distract attention away from sth.,ყურადღება გადაიტანო რამიდან,,
come to sb's attention,,,
bring sth to sb's attention,,,
escape your attention,,,
needs a bit of attention (repairing),სჭირდება შეკეთება,,
care and attention,მოვლა და ყურადღება,,
medical attention,სამედიცინო დახმარება,,
stand to/at attention (soldiers),,,
attentively,ყურადღებით,,
get ahead in sth.,წახვიდე წინ რამეში,,
in private,"ცალკე, პირადად",,
in public,"საჯაროდ, ხალხში",,
behind bars,"ციხეში, საკანში",,
bars,გისოსი,,
pickles,მწნილი,,
pickled,დამწნილებული,,
carry on,გაგრძელება,,
proceed,გაგრძელება,,
go on,გაგრძელება,,
standard of living,ცხოვრების დონე,,
ship,გადაზიდვა,,
transport,გადაზიდვა,,
Have a safe journey!,გისურვებთ უსაფრთხო მოგზაურობას!,,
I can't wait to see you!,"ერთი სული მაქვს, გნახო!",,
I look forward to seeing you!,"ერთი სული მაქვს, გნახო!",,
10 Lari,10 ლარი,,
chat sb. up,შეაბა ვინმე,,
invincible,დაუმარცხებელი,,
unbeatable,დაუმარცხებელი,,
strong desire to do sth.,რაღაცის გაკეთების დიდი სურვილი,,
unprepared,მოუმზადებელი,,
you need not bring,არ არის საჭირო მოტანა,,
necklace,ყელსაბამი,,
earrings,საყურეები,,
bracelet,სამაჯური,,
needy,"გაჭირვებული, ადამიანი, რომელიც არ არის დამოუკიდებელი",,
ask for,სთხოვო რამე,,
mutual acquaintances,საერთო ნაცნობები,,
TB,ტუბერკულიოზი,,
ICU (Intensive Care Unit),რეანიმაცია,,
mustard,მდოგვი,,
ketchup,კეტჩუპი,,
ribs,ნეკნები,,
believe it or not,"გინდ დაიჯერე, გინდა არა",,
chemical substances,ქიმიური ნივთიერებები,,
illegal substances,არაკანონიერი ნივთიერებები,,
take up yoga,დაიწყო სიარული იოგაზე,,
take over,გადაბარება,,
retire,პენსიაზე გასვლა,,
take sb. on,სამსახურში აყვანა,,
recruit,სამსახურში აყვანა,,
take part,მონაწილეობის მიღება,,
participate,მონაწილეობის მიღება,,
I can't tolerate this!,ამას ვერ ავიტან!,,
I can't put up with this!,ამას ვერ ავიტან!,,
like there was no tomorrow,თითქოს ბოლო დღეა,,
craft,ხელობა,,
to perfect sth.,დახვეწო რამე,,
to bear this,აიტანო ეს,,
wasp,"კრაზანა, ბზიკი",,
sting,ბზიკის კბენა,,
having done this I decided to ...,"გავაკეთე რა ეს, მე გადავწყვიტე ...",,
I would smoke every day.,ყოველდღე ვეწეოდი.,,
strictly forbidden,მკაცრად აკრძალული,,
It's been great to talk to you.,კარგი იყო თქვენთან საუბარი.,,
It's been great talking to you.,კარგი იყო თქვენთან საუბარი.,,
Don't inhibit me!,ნუ მაკომპლექსებ!,,
back-sit-driver,"ვინც გასწავლის ჭკუას, როგორ იარო (მანქანაში)",,
do sth at the last minute,გააკეთო რამე ბოლო წუთს,,
leave sth to the last minute,მოიტოვო რამე ბოლო წუთისთვის,,
I have expensive taste.,მიყვარს ძვირადღირებული ნივთები.,,
fluent in English,თავისუფლად საუბარი ინგლისურად,,
Keep it up!,ასე გააგრძელე!,,
spring,წამოხტომა,,
I sprang out of bed.,მე წამოვხტი საწოლიდან.,,
This dish is fit for a king.,"ეს ""სამეფო"" კერძია. (ძალიან ძვირი ან მაღალი ხარისხის)",,
turn the page,გადაშალე (გვერდი),,
Turn the book on page 10.,გადაშალე წიგნი მე-10 გვერდზე.,,
keep your promise,შეასრულო დანაპირები,,
deliver on your promise,შეასრულო დანაპირები,,
a wine taster,"სომალიე, ღვინის დეგუსტატორი",,
I have a sweet tooth.,ტკბილეული მიყვარს.,,
cannon,ქვემეხი,,
drink a toast,შესვა სადღეგრძელო,,
propose a toast,შესვა სადღეგრძელო,,
collar,საყელო,,
with or without you,შენთან ერთად ან შენ გარეშე,,
reward,ჯილდო,,
award,ჯილდო,,
make sth.,აწარმოო რამე,,
produce sth.,აწარმოო რამე,,
manufacture sth.,აწარმოო რამე,,
as for your question,რაც შეეხება თქვენს კითხვას,,
concerning your question,რაც შეეხება თქვენს კითხვას,,
regarding your question,რაც შეეხება თქვენს კითხვას,,
high concentration,კარგი კონცენტრაცია,,
understanding,გამგები,,
loving,მოსიყვარულე,,
caring,მზრუნველი,,
in relation to,რაღაცაში მიმართებით,,
key factor,მთავარი ფაქტორი,,
pain comes and goes,"ხან ამტკივდება, ხან გამივლის",,
Do something about it!,რამე უშველე!,,
delay action until what is going to happen,"გადადო მოქმედება, სანამ რამე მოხდება",,
insider trading,the illegal practice of trading on the stock exchange to one's own advantage through having access to confidential information.,,
facts and figures,ზუსტი და დეტალური ინფორმაცია,,
fast and furious,სწრაფი მოქმედებები და ცვლილებები,,
wait and see,დავიცადოთ და ვნახოთ,,
up and down the road,გზაზე გავლა გამოვლა,,
you are up bright and early in the morning.,ძალიან ადრე ადექი ამ დილით.,,
I love the peace and quiet of the countryside.,მიყვარს სიმშვიდე ქალაქგარეთ.,,
in contrast to,შედარებით,,
hustle and bustle of city life,ქალაქის ხმაური,,
first and foremost,უპირველეს ყოვლისა,,
go backwards and forwards,წინ და უკან,,
on and off / off and on,"ხან კი, ხან არა",,
now and then,დროდადრო,,
sick and tired of sth.,"მოგბეზრდეს რამე, ყელში ამოგივიდეს რამე",,
word for word,სიტყვა-სიტყვით,,
one way or another,"რამენაირად, ასე თუ ისე",,
give or take 2 days,პლუს-მინუს 2 დღე,,
sooner or later,ადრე თუ გვიან,,
foe,მტერი,,
perceive,აღქმა,,
soothe,დამშვიდება,,
calm down,დამშვიდება,,
pacify,დამშვიდება,,
contamination,დაბინძურება,,
pollution,დაბინძურება,,
Strength is in unity!,ძალა ერთობაშია!,,
tarragon,ტარხუნა,,
secret on,,,
key to,რამის გასაღები (საწინდარი),Hard work is the key to success,
stocks,აქციები,,
coincide with sth.,დაემთხვე რამეს,,
"are associated with virus, disease",,,
agree with sb.,დაეთანხმო ვინმეს,,
equip with sth.,აღიჭურვო რამით,,
fill with sth.,აავსო რამით,,
supply with sth.,მოამარაგო რამით,,
supply/demand,მოთხოვნა/მიწოდება,,
change planes in Istanbul,გადაჯდომა სტამბულში,,
clarify,გარკვევა,,
regular customer,მუდმივი კლიენტი,,
loyal customer,ერთგული კლიენტი,,
5-star hotel,5-ვარსკვლავიანი სასტუმრო,,
Be more patient with your children.,უფრო მომთმენი იყავი შენს შვილებთან.,,
at the beginning of April,აპრილის დასაწყისში,,
give a lesson,ჩაატარო გაკვეთილი,,
similarities and differences,მსგავსებები და განსხვავებები,,
ethnic minorities,ეთნიკური უმცირესობები,,
I don't speak a word of Chinese.,ჩინურის გარტყმაში არ ვარ.,,
sweat like crazy,ძალიან ოფლიანობა,,
I got my tooth out/extracted.,კბილი ამოვიღე.,,
beauty salon,სილამაზის სალონი,,
hair salon,სილამაზის სალონი,,
meet the requirements,დააკმაყოფილო მოთხოვნები,,
vivid imagination,კარგი წარმოსახვის უნარი,,
Vice President,ვიცე პრეზიდენტი,,
deputy CEO,აღმასრულებელი დირექტორის მოადგილე,,
It completely slipped my mind to call you.,"სულ გადამავიწყდა, რომ დამერეკა.",,
vulnerable,"მოწყვლადი, დაუცველი",,
button up,ღილების შეკვრა,,
unbutton,ღილების გახსნა,,
zip up,ელვის შეკვრა,,
unzip,ელვის გახსნა,,
like minded people,ერთნაირი შეხედულებების მქონე ადამიანები,,
medical condition,სამედიცინო მდგომარეობა,,
AC (air conditioner),კონდიციონერი,,
AI (artificial insemination),ხელოვნური განაყოფიერება,,
AI (artificial intelligence),ხელოვნური ინტელექტი,,
clinical studies,კლინიკური კვლევები,,
speed up,აჩქარება,,
accelerate,აჩქარება,,
assertive,"მიმწოლი, თავდაჯერებული",,
pushy,"მიმწოლი, თავდაჯერებული",,
ingratitude,უმადურობა,,
genuine quiet,სრული სიჩუმე,,
detrimental,დამანგრეველი,,
de-stressing,სტრესის მომხსნელი,,
prescription medications,გამოწერილი წამლები,,
personal matters,პირადი საქმეები,,
nod,თავის დაკვრა,,
cheer sb. up,გაამხნევო ვინმე,,
insensitive,უგრძნობი,,
sensible,გონივრული,,
sensitive,მგრძნობიარე,,
cheerful,მხიარული,,
cheers,"გაგვიმარჯოს, ნახვამდის, მადლობა",,
sympathetic,თანამგრძნობი,,
sympathy,თანაგრძნობა,,
crack,"ბზარი, გაბზარვა",,
let sb. down,დააღალატო ვინმე,,
What a shame!,რა სამწუხაროა!,,
What a pity!,რა სამწუხაროა!,,
unreliable,არასანდო,,
envious,შურიანი,,
I'm envious of you.,მშურს შენი.,,
I'm jealous of you.,ვეჭვიანობ შენზე.,,
polite,ზრდილობიანი,,
impolite,უზრდელი,,
gently,ნაზად,,
Let's put off this meeting to Monday.,მოდი გადავდოთ ეს შეხვედრა ორშაბათისთვის.,,
Let's postpone this meeting to Monday,მოდი გადავდოთ ეს შეხვედრა ორშაბათისთვის.,,
put sb. off,განიზიდო ვინმე,,
get on sb's nerves,მოუშალო ვინმეს ნერვები,,
I'm fed up with you!,ყელში ამომიხვედი!,,
twinges of conscience,სინდისის ქენჯნა,,
jokes aside,ხუმრობა იქითი იყოს,,
go off,"გაფუჭება (საჭმლის), ვადის გასვლა, აფეთქება (ბომბის)",,
play,პიესა,,
curtain goes up,ფარდის აწევა (თეატრში),,
concern,"ნერვიულობა, შეშფოთება",,
concerning,რაც შეეხება,,
go down with [virus],ჩაწვე (ვირუსის გამო),,
asthma,ასთმა,,
in completely the wrong way,სრულიად არასწორი გზით,,
convent,დედათა მონასტერი,,
principal,"ძირითადი, მთავარი, სკოლის დირექტორი",,
rags,ძონძები,,
filthy,ბინძური,,
sari,სარი (ქალის ტრადიციული სამოსი ინდოეთში),,
in the slums,ღარიბულ უბანში ან ქუჩაზე,,
mourn,გლოვა,,
numerous,"ძალიან ბევრი, მრავალრიცხოვანი",,
binoculars,ბინოკლი,,
disposable,ერთჯერადი,,
thus,"ამგვარად, ასე რომ",,
visor,ვიზორი,,
waist,წელი (ადამიანის),,
ankle,კოჭი (ტერფსა და წვივს შორის),,
devise,"დაგეგმვა, გამოგონება",,
encompass,მოიცავს,,
forewarned of sth.,წინასწარ გაფრთხილებული რაღაცაზე,,
fruition,"განხორციელებული, რეალიზებული",,
grimy,ჭუჭყიანი,,
tuck,"შეყოფა, დამალვა",,
stink out,აყროლება,,
squint,თვალების მოჭუტვა,,
lean,"დახრა, გადახრა",,
hum,გუგუნი,,
wobble,რხევა,,
thigh,ბარძაყი,,
meld,შერწყმა,,
tune,მელოდია,,
fare,ტრანსპორტში გადასახდელი ფული,,
slack-jawed,პირდაღებული,,
flourish,"აყვავება, გაქნევა",,
squeeze,"გაჭყლეტვა, გამოწურვა",,
squash,"გაჭყლეტვა, გამოწურვა",,
stoop,დახრა,,
neck and neck,ერთნაირ დონეზე,,
sway,"რხევა, ქანაობა",,
half-glance,ცალი თვალით შეხედვა,,
underline sth.,ხაზი გაუსვა რამეს,,
Does it make any difference?,არის რამე განსხვავება?,,
"What you give away is yours, and what you don't is not.","რასაც გასცემ შენია, რასაც არა - არა.",,
Don't exaggerate!,ნუ აზვიადებ!,,
I have a degree in Marketing.,მე მაქვს ხარისხი მარკეტინგში.,,
The ancient Greece,ძველი საბერძნეთი,,
Get lost!,დამეკარგე აქედან!,,
lottery,ლატარია,,
high standards,მაღალი სტანდარტები,,
lost and found,დაკარგული ნივთები,,
lotus,ლოტუსი,,
We are in nature.,ჩვენ ვართ ბუნებაში.,,
air tickets,ავია ბილეთები,,
table spoon,სუფრის კოვზი,,
tea spoon,ჩაის კოვზი,,
dessert spoon,დესერტის კოვზი,,
Don't confuse me!,ნუ მაბნევ!,,
Don't complicate things!,ნუ ართულებ!,,
have a beard,გქონდეს წვერი,,
cosmos,კოსმოსი,,
space,კოსმოსი,,
Can you make this exception for me?,შეგიძლია გამონაკლისი დაუშვა ჩემთვის?,,
I'm new to,ახალი ვარ,,
important to us,მნიშვნელოვანი ჩვენთვის,,
eyelashes,წამწამები,,
eyebrows,წარბები,,
nostrils,ნესტოები,,
armpit,იღლია,,
to gain sb's trust,მოიპოვო ვინმეს ნდობა,,
acceleration,აჩქარება,,
because of this,ამის გამო,,
due to this,ამის გამო,,
owing to this,ამის გამო,,
Prove to me!,დამიმტკიცე!,,
edition,გამოცემა,,
addition,დამატება,,
How comfortable a chair is this!,რა კომფორტული სკამია!,,
even if you apologized to me,მაშინაც კი თუ ბოდიშს მომიხდი,,
Poland / Polish,"პოლონეთი / (პოლონური, პოლონელი)",,
Portugal / Portuguese,"პორტუგალია / (პორტუგალიური, პორტუგალიელი)",,
Qatar / Qatari,"ყატარი / (ყატარული, ყატარელი)",,
Romania / Romanian,"რუმინეთი / (რუმინული, რუმინელი)",,
Iraq / Iraqi,"ერაყი / (ერაყული, ერაყელი)",,
Azerbaijan / Azerbaijani,"აზერბაიჯანი / (აზერბაიჯანული, აზერბაიჯანელი)",,
on this list,ამ სიაში,,
on this team,ამ გუნდში,,
Spain / Spanish,"ესპანეთი / (ესპანური, ესპანელი)",,
Mexico / Mexican,"მექსიკა / (მექსიკური, მექსიკელი)",,
there's no such language,ასეთი ენა არ არსებობს,,
The Russian Federation,რუსეთის ფედერაცია,,
The United Kingdom,გაერთიანებული სამეფო,,
The Czech Republic,ჩეხეთის რესპუბლიკა,,
Denmark,დანია,,
The Gulf of Mexico,მექსიკის ყურე,,
bay,უბე (ყურე),,
Malta,მალტა,,
Hungary / Hungarian,"უნგრეთი / (უნგრული, უნგრელი)",,
Ukraine / Ukrainian,"უკრაინა / (უკრაინული, უკრაინელი)",,
The USA,ა.შ.შ,,
The United Arab Emirates,არაბთა გაერთიანებული საემიროები,,
The Philippines,ფილიპინები,,
slope,"დახრილობა, მხები, სათხილამურო გზა",,
priesthood,მღვდლობა,,
milk this cow,მოწველე ეს ძროხა,,
Dutch,ჰოლანდიური,,
Iran / Iranian,"ირანი / (ირანული, ირანელი)",,
Turkey / Turkish,"თურქეთი / (თურქული, თურქი)",,
nail polish,ფრჩხილის ლაქი,,
It's a pleasure to meet you. - likewise,სასიამოვნოა თქვენთან შეხვედრა. - ასევე,,
The pleasure is mine.,ჩემთვისაც სასიამოვნოა.,,
I'm hopeless at sth.,ჩაინიკი ვარ რაღაცაში,,
scarf,შარფი,,
path,ბილიკი,,
butcher's,ხორცის მაღაზია,,
pork,ღორის ხორცი,,
beef,საქონლის ხორცი,,
sit opposite me,ჩემს წინ ჯდომა (სახით ჩემკენ),,
sit in front of me,ჩემს წინ ჯდომა (ზურგით),,
log,მორი,,
elevator,ლიფტი,AmE,
lift,ლიფტი,BrE,
There is no point in doing this.,აზრი არ აქვს ამის კეთებას.,,
trading,ვაჭრობა,,
don't surrender,არ დანებდე,,
throw up / vomit,რწყევა,,
cousin,ბიძაშვილი,,
In the 16th century,მე-16 საუკუნეში,,
whereabouts,ადგილსამყოფელი,,
for three days in a row,სამი დღე მიყოლებით,,
hostage,მძევალი,,
take sb. hostage,მძევლად აყვანა,,
demand a ransom,გამოსასყიდის მოთხოვნა,,
golf course,გოლფის მოედანი,,
do a course in,კურსის გავლა,,
palace,სასახლე,,
castle,ციხე,,
fortress,ციხესიმაგრე,,
in other words,სხვა სიტყვებით რომ ვთქვათ,,
Shell we drive through this tunnel?,გავიაროთ ამ გვირაბში?,,
I don't want to upset you in any way.,"არ მინდა, რომ გაწყენინო რამენაირად.",,
violence,ძალადობა,,
poverty line,სიღარიბის ზღვარი,,
below poverty line,სიღარიბის ზღვარს მიღმა,,
raise / bring up,აღზარდო,,
I'm dying of thirst.,წყურვილით ვკვდები.,,
Shell we cooperate in this direction?,ვითანამშრომლოთ ამ მიმართულებით?,,
Let's move on to the next slide.,"მოდი, გადავიდეთ შემდეგ სლაიდზე.",,
tyres / tires,ბორბლები,,
Tires can extend the life of this car.,ბორბლებს შეუძლია გაზარდოს ამ მანქანის სიცოცხლისუნარიანობა.,,
I'll call you within a week.,მაქსიმუმ 1 კვირაში დაგირეკავ.,,
When it comes to reading the book...,როცა საქმე ეხება წიგნის კითხვას ...,,
take it into account,გაითვალისწინეთ,,
take it into consideration,გაითვალისწინეთ,,
bear this in mind,გაითვალისწინეთ,,
keep this in mind,გაითვალისწინეთ,,
demand for,მოთხოვნა რაღაცაზე,,
"Can/could/may I speak to Nino, please?",ნინოს სთხოვეთ (ტელეფონზე),,
"Hold line, please.",მოითმინეთ (ტელეფონზე),,
"Hold on, please.",მოითმინეთ (ტელეფონზე),,
devote more time to children,მეტი დრო დაუთმო ბავშვებს,,
devote,მიძღვნა,,
dedicate,მიძღვნა,,
an early night,ადრე დაძინება,,
run into sb.,შემთხვევით შეხვედრა,,
bump into sb.,შემთხვევით შეხვედრა,,
a night out,საღამოს გატარება გასართობად,,
pop in,შეუარო ვინმეს ცოტა ხნით,,
pop over,შეუარო ვინმეს ცოტა ხნით,,
pop round,შეუარო ვინმეს ცოტა ხნით,,
just round the corner,აქვე ახლოს,,
close by,აქვე ახლოს,,
not my cup of tea,ის რაც დიდად არ მიყვარს,,
go halves,გადასახადის თანაბრად გაყოფა,,
split the bill,გადასახადის თანაბრად გაყოფა,,
eat out,რესტორანში ჭამა,,
eat in,სახლში ჭამა,,
put sb. up,შესთავაზო ვინმეს შენთან დარჩენა ცოტა ხნით,,
end up,"აღმოჩნდე სადმე, რამის გაკეთება დაუგეგმავად",,
turn out,აღმოჩნდეს,,
feel like doing sth.,გინდოდეს რამის გაკეთება,,
change hands,მფლობელის შეცვლა,,
try sth/sb out,გამოსცადო,,
one at a time,"ცალკე, ინდივიდუალურად, რიგ-რიგობით",,
jump the queue,გადასწრება რიგში,,
push in,გადასწრება რიგში,,
packed in like sardines,გადაჭედილი,,
take exception to sth.,გაბრაზდე რამეზე,,
be asking for trouble,შარზე ყოფნა,,
throw sb. out,გაგდება ძალით,,
keep away from sb/sth,მოერიდო ვინმეს/რამეს,,
I don't approve of sth.,არ ვემხრობი,,
consists of,შედგება,,
I'm worried about,ვნერვიულობ რამეზე,,
stare at,მიშტერება,,
argue with sb. about sth.,ეკამათო ვინმეს რამეზე,,
arrive in city/country,ჩახვიდე ქალაქში/ქვეყანაში,,
arrive at hotel/airport,ჩახვიდე სასტუმროში/აეროპორტში,,
When will you get to Georgia?,როდის ჩახვალ საქართველოში?,,
stop him from reading,შეაწყვეტინე კითხვა,,
prevent him from reading,შეაწყვეტინე კითხვა,,
pray to god,ილოცო ღმერთისადმი,,
pray for sb.,ილოცო ვინმესთვის,,
respond to,"პასუხი გასცე, უპასუხო",,
reply to,"პასუხი გასცე, უპასუხო",,
intelligent eyes,ჭკვიანი თვალები,,
don't be so big headed,ნუ გაქვს დიდი წარმოდგენა საკუთარ თავზე.,,
gallant,გალანტური,,
I was absent from the event,არ ვესწრებოდი ამ ღონისძიებას,,
present at the event,ღონისძიებაზე დასწრება,,
innocent of sth.,უდანაშაულო რამეში,,
guilty of sth.,დამნაშავე რამეში,,
even if you,მაშინაც კი,,
fashionably late,მოდურად დაგვიანება,,
What is working with Giorgi like?,როგორია გიორგისთან მუშაობა?,,
overcome obstacles,გადალახო დაბრკოლებები,,
resourceful,პრაქტიკული (ადამიანი),,
on this very table,ზუსტად ამ მაგიდაზე,,
answer to the question,პასუხი კითხვაზე,,
valve,სარქველი,,
anatomy,ანატომია,,
good news is,კარგი ამბავი არის...,,
start a family,შექმნა ოჯახი,,
start a car,დაქოქო მანქანა,,
achieve results,მიიღო შედეგები,,
get results,მიიღო შედეგები,,
once and for all,ერთხელ და სამუდამოდ,,
win a scholarship,მოიგო სტიპენდია,,
